time;ghi;dhi;t_luft;v_wind
2025-01-01 00:00:00;0;0;1.5;7.44
2025-01-01 00:05:00;0;0;1.5;6.24
2025-01-01 00:10:00;0;0;1.5;7
2025-01-01 00:15:00;0;0;1.46;7.68
2025-01-01 00:20:00;0;0;1.48;6.96
2025-01-01 00:25:00;0;0;1.4;7.7
2025-01-01 00:30:00;0;0;1.4;7.5
2025-01-01 00:35:00;0;0;1.44;6.68
2025-01-01 00:40:00;0;0;1.46;6.98
2025-01-01 00:45:00;0;0;1.4;6.26
2025-01-01 00:50:00;0;0;1.42;6.46
2025-01-01 00:55:00;0;0;1.42;8.1
2025-01-01 01:00:00;0;0;1.4;6.88
2025-01-01 01:05:00;0;0;1.46;7.44
2025-01-01 01:10:00;0;0;1.5;6.7
2025-01-01 01:15:00;0;0;1.5;8.38
2025-01-01 01:20:00;0;0;1.5;6.58
2025-01-01 01:25:00;0;0;1.52;8.26
2025-01-01 01:30:00;0;0;1.54;9.88
2025-01-01 01:35:00;0;0;1.58;10.08
2025-01-01 01:40:00;0;0;1.52;10
2025-01-01 01:45:00;0;0;1.58;9.8
2025-01-01 01:50:00;0;0;1.6;9.68
2025-01-01 01:55:00;0;0;1.6;9.08
2025-01-01 02:00:00;0;0;1.6;8.44
2025-01-01 02:05:00;0;0;1.6;8.2
2025-01-01 02:10:00;0;0;1.6;7.58
2025-01-01 02:15:00;0;0;1.6;7.32
2025-01-01 02:20:00;0;0;1.58;7.34
2025-01-01 02:25:00;0;0;1.6;8.08
2025-01-01 02:30:00;0;0;1.56;7.44
2025-01-01 02:35:00;0;0;1.5;8.84
2025-01-01 02:40:00;0;0;1.5;6.94
2025-01-01 02:45:00;0;0;1.5;8.86
2025-01-01 02:50:00;0;0;1.5;7.32
2025-01-01 02:55:00;0;0;1.5;5.92
2025-01-01 03:00:00;0;0;1.42;7.56
2025-01-01 03:05:00;0;0;1.4;8.34
2025-01-01 03:10:00;0;0;1.5;8.42
2025-01-01 03:15:00;0;0;1.52;7.44
2025-01-01 03:20:00;0;0;1.54;8.38
2025-01-01 03:25:00;0;0;1.56;8.7
2025-01-01 03:30:00;0;0;1.6;7.24
2025-01-01 03:35:00;0;0;1.6;7.88
2025-01-01 03:40:00;0;0;1.6;8.62
2025-01-01 03:45:00;0;0;1.64;7.42
2025-01-01 03:50:00;0;0;1.7;7.98
2025-01-01 03:55:00;0;0;1.7;7.56
2025-01-01 04:00:00;0;0;1.7;8.38
2025-01-01 04:05:00;0;0;1.7;7.86
2025-01-01 04:10:00;0;0;1.72;7.76
2025-01-01 04:15:00;0;0;1.76;6.74
2025-01-01 04:20:00;0;0;1.78;6.92
2025-01-01 04:25:00;0;0;1.9;7.18
2025-01-01 04:30:00;0;0;1.96;7.74
2025-01-01 04:35:00;0;0;2.06;7.34
2025-01-01 04:40:00;0;0;2.1;7.2
2025-01-01 04:45:00;0;0;2.14;6.5
2025-01-01 04:50:00;0;0;2.24;6.7
2025-01-01 04:55:00;0;0;2.3;7.78
2025-01-01 05:00:00;0;0;2.4;7.26
2025-01-01 05:05:00;0;0;2.4;7.3
2025-01-01 05:10:00;0;0;2.4;6.42
2025-01-01 05:15:00;0;0;2.4;7.16
2025-01-01 05:20:00;0;0;2.44;7.36
2025-01-01 05:25:00;0;0;2.5;5.72
2025-01-01 05:30:00;0;0;2.5;7.18
2025-01-01 05:35:00;0;0;2.5;7.66
2025-01-01 05:40:00;0;0;2.5;7.16
2025-01-01 05:45:00;0;0;2.56;6
2025-01-01 05:50:00;0;0;2.6;6.7
2025-01-01 05:55:00;0;0;2.74;7.6
2025-01-01 06:00:00;0;0;2.88;7.16
2025-01-01 06:05:00;0;0;3;7.82
2025-01-01 06:10:00;0;0;3.08;8.38
2025-01-01 06:15:00;0;0;3.2;8
2025-01-01 06:20:00;0;0;3.3;8.38
2025-01-01 06:25:00;0;0;3.34;8.36
2025-01-01 06:30:00;0;0;3.38;7.9
2025-01-01 06:35:00;0;0;3.34;7.98
